repo_name,category,file_type,file_name,sdlc_phase,line_number,line_content
microsoft/Swin-Transformer,Deep Learning,documentation,SUPPORT.md,P7_Documentation,1,# TODO: The maintainer of this repo has not yet edited this file
jupyterlab/jupyterlab,Non-ML Control,cicd,.stylelintrc.yaml,P5_CICD_Deployment,14,# TODO: fix all of these rules violated in stylelint-config-recommended
jupyterlab/jupyterlab,Non-ML Control,cicd,.stylelintrc.yaml,P5_CICD_Deployment,25,# TODO: evaluate these unfixable rules violated in stylelint-config-standard
jupyterlab/jupyterlab,Non-ML Control,cicd,.stylelintrc.yaml,P5_CICD_Deployment,44,# TODO: decrease max-compound to 3
jupyterlab/jupyterlab,Non-ML Control,cicd,.stylelintrc.yaml,P5_CICD_Deployment,46,# TODO: decrease to 0
MVIG-SJTU/AlphaPose,Computer Vision,documentation,README.md,P7_Documentation,144,## TODO
open-telemetry/opentelemetry-python,MLOps,documentation,CONTRIBUTING.md,P7_Documentation,274,"* ""docs: replace TODO placeholders with API and SDK overview descriptions"""
open-telemetry/opentelemetry-python,MLOps,documentation,CONTRIBUTING.md,P7_Documentation,297,"* If the PR is not ready for review, please put `[WIP]` in the title, tag it"
open-telemetry/opentelemetry-python,MLOps,documentation,CONTRIBUTING.md,P7_Documentation,338,"Project managers can also exempt a PR from this by applying one of the following labels: `hold`, `WIP`, `blocked by spec`, `do not merge`."
open-telemetry/opentelemetry-python,MLOps,documentation,RELEASING.md,P7_Documentation,70,* Run the following (TODO automate):
open-telemetry/opentelemetry-python,MLOps,dependency,gen-requirements.txt,P4_Build_Packaging,2,# Pinning this to the oldest grpcio version that supports protobuf 5 helps avoid RuntimeWarning messages
zuoxingdong/lagom,AutoML/RL,documentation,README.md,P7_Documentation,74,A graphical illustration is coming soon.
pytest-dev/pytest,Non-ML Control,dependency,pyproject.toml,P4_Build_Packaging,496,# deprecated in an earlier release.
DataDog/datadogpy,MLOps,documentation,CONTRIBUTING.md,P7_Documentation,94,| `do-not-merge/WIP`            | Pull Request Only        | Do not merge this PR.
unslothai/unsloth,Deep Learning,documentation,README.md,P7_Documentation,57,"* [Multi-GPU](https://unsloth.ai/docs/basics/multi-gpu-training-with-unsloth) training is supported, with major improvements coming soon."
unslothai/unsloth,Deep Learning,cicd,install.sh,P5_CICD_Deployment,1661,# TODO: uncomment rocm7.2 when the torch upper bound is bumped
axolotl-ai-cloud/axolotl,Deep Learning,documentation,FAQS.md,P7_Documentation,3,"- Can you train StableLM with this? Yes, but only with a single GPU atm. Multi GPU support is coming soon! Just waiting on this [PR](https://github.com/huggingface/transformers/pull/22874)"
axolotl-ai-cloud/axolotl,Deep Learning,documentation,FAQS.md,P7_Documentation,4,"- Will this work with Deepspeed? That's still a WIP, but setting `export ACCELERATE_USE_DEEPSPEED=true` should work in some cases"
iterative/mlem,MLOps,documentation,README.md,P7_Documentation,14,"Wrap models as a Python package or Docker Image, or deploy them to Heroku, SageMaker or Kubernetes (more platforms coming soon)."
aio-libs/aiohttp,Non-ML Control,dependency,pyproject.toml,P4_Build_Packaging,129,# deprecated in an earlier release.
facebookresearch/Detectron,Computer Vision,documentation,MODEL_ZOO.md,P7_Documentation,20,- Baseline models and results for the [Cityscapes dataset](https://www.cityscapes-dataset.com/) are coming soon!
