repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
lm-sys/FastChat,Deep Learning,39480.0,4790.0,1036.0,35323.0,Python,1163.0,2023-03-19,2026-05-25,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",False,True,False,Apache-2.0,ok
allenai/dolma,NLP,1498.0,190.0,43.0,65957.0,Python,1070.0,2023-06-20,2026-05-24,Data and tools for generating and inspecting OLMo pre-training data. ,True,True,False,Apache-2.0,ok
statsmodels/statsmodels,MLOps,11428.0,3342.0,2971.0,58784.0,Python,5461.0,2011-06-12,2026-05-25,Statsmodels: statistical modeling and econometrics in Python,True,True,False,BSD-3-Clause,ok
keras-team/autokeras,AutoML/RL,9314.0,1399.0,159.0,45546.0,Python,3109.0,2017-11-19,2026-05-25,AutoML library for deep learning,True,True,False,Apache-2.0,ok
lucidrains/bidirectional-cross-attention,Deep Learning,196.0,16.0,0.0,13.0,Python,1520.0,2022-03-27,2026-04-29,A simple cross attention that updates both the source and target in one step,True,True,False,MIT,ok
psf/black,Non-ML Control,41524.0,2778.0,290.0,8048.0,Python,2994.0,2018-03-14,2026-05-25,The uncompromising Python code formatter,True,True,False,MIT,ok
pymc-devs/pymc,MLOps,9623.0,2254.0,494.0,545563.0,Python,6229.0,2009-05-05,2026-05-25,Bayesian Modeling and Probabilistic Programming in Python,True,True,False,NOASSERTION,ok
togethercomputer/RedPajama-Data,NLP,4944.0,371.0,43.0,2117.0,Python,1137.0,2023-04-14,2026-05-25,The RedPajama-Data repository contains code for preparing large datasets for training large language models.,True,True,False,Apache-2.0,ok
dmlc/xgboost,AutoML/RL,28410.0,8869.0,463.0,36715.0,C++,4491.0,2014-02-06,2026-05-25,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",True,True,False,Apache-2.0,ok
astral-sh/ruff,Non-ML Control,47682.0,2121.0,2005.0,144699.0,Rust,1385.0,2022-08-09,2026-05-25,"An extremely fast Python linter and code formatter, written in Rust.",False,True,False,MIT,ok
openai/guided-diffusion,Deep Learning,7379.0,906.0,113.0,28.0,Python,1854.0,2021-04-27,2026-05-23,,True,True,False,MIT,ok
