repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
zuoxingdong/lagom,AutoML/RL,378.0,31.0,16.0,100579.0,Jupyter Notebook,3077.0,2017-12-21,2025-10-26,lagom: A PyTorch infrastructure for rapid prototyping of reinforcement learning algorithms.,True,True,False,MIT,ok
microsoft/CvT,Computer Vision,606.0,127.0,22.0,167.0,Python,1826.0,2021-05-25,2026-05-08,This is an official implementation of CvT: Introducing Convolutions to Vision Transformers.,True,True,False,MIT,ok
facebookresearch/Pearl,AutoML/RL,3003.0,200.0,16.0,57031.0,Jupyter Notebook,1144.0,2023-04-07,2026-05-22,A Production-ready Reinforcement Learning AI Agent Library brought by the Applied Reinforcement Learning team at Meta. ,False,True,False,MIT,ok
getsentry/sentry-python,MLOps,2187.0,616.0,409.0,87246.0,Python,2898.0,2018-06-18,2026-05-24,The official Python SDK for Sentry.io,False,True,False,MIT,ok
pytest-dev/pytest,Non-ML Control,13877.0,3142.0,964.0,40285.0,Python,3997.0,2015-06-15,2026-05-25,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing",True,True,False,MIT,ok
facebookresearch/ReAgent,AutoML/RL,3704.0,530.0,85.0,32575.0,Python,3224.0,2017-07-27,2026-05-24,"A platform for Reasoning systems (Reinforcement Learning, Contextual Bandits, etc.)",False,True,False,BSD-3-Clause,ok
DataDog/datadogpy,MLOps,665.0,321.0,82.0,1979.0,Python,4136.0,2015-01-27,2026-05-13,The Datadog Python library,False,True,False,NOASSERTION,ok
ipython/ipython,Non-ML Control,16706.0,4477.0,1589.0,81233.0,Python,5859.0,2010-05-10,2026-05-24,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.",True,True,False,BSD-3-Clause,ok
pygments/pygments,Non-ML Control,2166.0,804.0,612.0,28627.0,Python,2459.0,2019-08-31,2026-05-23,Pygments is a generic syntax highlighter written in Python,True,True,False,BSD-2-Clause,ok
unslothai/unsloth,Deep Learning,65126.0,5777.0,1303.0,81752.0,Python,908.0,2023-11-29,2026-05-25,"Unsloth Studio is a web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally.",False,True,False,Apache-2.0,ok
redis/redis-py,Non-ML Control,13545.0,2683.0,74.0,13080.0,Python,6044.0,2009-11-06,2026-05-25,Redis Python client,False,True,False,MIT,ok
apple/ml-4m,Computer Vision,1797.0,109.0,16.0,12820.0,Python,777.0,2024-04-08,2026-05-18,4M: Massively Multimodal Masked Modeling,False,True,False,Apache-2.0,ok
kengz/SLM-Lab,AutoML/RL,1350.0,288.0,5.0,59848.0,Python,3157.0,2017-10-02,2026-05-20,"Modular Deep Reinforcement Learning framework in PyTorch. Companion library of the book ""Foundations of Deep Reinforcement Learning"".",True,True,False,MIT,ok
replicate/replicate-python,MLOps,907.0,269.0,65.0,6499.0,Python,1475.0,2022-05-11,2026-05-20,Python client for Replicate,False,True,False,Apache-2.0,ok
pfnet/pfrl,AutoML/RL,1270.0,158.0,36.0,15535.0,Python,2161.0,2020-06-24,2026-05-16,PFRL: a PyTorch-based deep reinforcement learning library,True,True,False,MIT,ok
pyparsing/pyparsing,Non-ML Control,2471.0,310.0,38.0,14248.0,Python,3298.0,2017-05-14,2026-05-25,Python library for creating PEG parsers,True,True,False,MIT,ok
axolotl-ai-cloud/axolotl,Deep Learning,11960.0,1347.0,225.0,36427.0,Python,1137.0,2023-04-14,2026-05-25,Go ahead and axolotl questions,True,True,False,Apache-2.0,ok
iterative/mlem,MLOps,718.0,42.0,131.0,1365.0,Python,1698.0,2021-09-30,2026-05-08,"🐶 A tool to package, serve, and deploy any ML model on any platform. Archived to be resurrected one day🤞",True,True,False,Apache-2.0,ok
arrow-py/arrow,Non-ML Control,9044.0,743.0,145.0,2223.0,Python,4936.0,2012-11-18,2026-05-24,🏹 Better dates & times for Python,True,True,False,Apache-2.0,ok
artidoro/qlora,Deep Learning,10911.0,873.0,207.0,31232.0,Jupyter Notebook,1110.0,2023-05-11,2026-05-24,QLoRA: Efficient Finetuning of Quantized LLMs,False,True,False,MIT,ok
openai/mujoco-py,AutoML/RL,3140.0,827.0,427.0,5823.0,Cython,3683.0,2016-04-24,2026-05-24,"MuJoCo is a physics engine for detailed, efficient rigid body simulations with contacts. mujoco-py allows using MuJoCo from Python 3.",True,True,False,NOASSERTION,ok
aio-libs/aiohttp,Non-ML Control,16443.0,2276.0,245.0,40582.0,Python,4619.0,2013-10-01,2026-05-25,Asynchronous HTTP client/server framework for asyncio and Python,False,True,False,Apache-2.0,ok
bentoml/Yatai,MLOps,844.0,77.0,34.0,14465.0,TypeScript,1760.0,2021-07-30,2026-05-21,Model Deployment at Scale on Kubernetes 🦄️,True,True,False,NOASSERTION,ok
mlcommons/algorithmic-efficiency,AutoML/RL,417.0,77.0,37.0,32196.0,Python,1924.0,2021-02-16,2026-04-04,MLCommons Algorithmic Efficiency is a benchmark and competition measuring neural network training speedups due to algorithmic improvements in both training algorithms and models.,True,True,False,Apache-2.0,ok
google-deepmind/dm_control,AutoML/RL,4590.0,753.0,120.0,99622.0,Python,3069.0,2017-12-29,2026-05-25,"Google DeepMind's software stack for physics-based simulation and Reinforcement Learning environments, using MuJoCo.",False,True,False,Apache-2.0,ok
cortexlabs/cortex,MLOps,8017.0,595.0,131.0,11550.0,Go,2678.0,2019-01-24,2026-05-24,Production infrastructure for machine learning at scale,False,True,False,Apache-2.0,ok
karpathy/llama2.c,Deep Learning,19555.0,2554.0,189.0,1275.0,C,1037.0,2023-07-23,2026-05-25,Inference Llama 2 in one file of pure C,True,True,False,MIT,ok
encode/django-rest-framework,Non-ML Control,30030.0,7066.0,75.0,64428.0,Python,5563.0,2011-03-02,2026-05-25,Web APIs for Django. 🎸,False,True,False,NOASSERTION,ok
polyaxon/polyaxon,MLOps,3706.0,325.0,124.0,126687.0,,3437.0,2016-12-26,2026-05-25,Open Source AI Infra & Engineering Control Plane,True,True,False,Apache-2.0,ok
MagicStack/uvloop,Non-ML Control,11791.0,607.0,155.0,1873.0,Cython,3851.0,2015-11-08,2026-05-25,Ultra fast asyncio event loop.,True,True,False,Apache-2.0,ok
openai/safety-gym,AutoML/RL,599.0,145.0,16.0,2988.0,Python,2377.0,2019-11-21,2026-05-01,Tools for accelerating safe exploration research.,True,True,False,MIT,ok
facebookresearch/Detectron,Computer Vision,26382.0,5391.0,331.0,4525.0,Python,3154.0,2017-10-05,2026-05-25,"FAIR's research platform for object detection research, implementing popular algorithms like Mask R-CNN and RetinaNet.",False,True,False,Apache-2.0,ok
open-mmlab/mmdetection3d,Computer Vision,6424.0,1765.0,653.0,21095.0,Python,2147.0,2020-07-08,2026-05-25,OpenMMLab's next-generation platform for general 3D object detection.,True,True,False,Apache-2.0,ok
Farama-Foundation/Metaworld,AutoML/RL,1820.0,343.0,11.0,118608.0,Python,2450.0,2019-09-09,2026-05-25,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning,False,True,False,MIT,ok
amoffat/sh,Non-ML Control,7235.0,505.0,13.0,2114.0,Python,5244.0,2012-01-15,2026-05-25,Python process launching,False,True,False,MIT,ok
tornadoweb/tornado,Non-ML Control,22181.0,5540.0,220.0,10992.0,Python,6102.0,2009-09-09,2026-05-25,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.",True,True,False,Apache-2.0,ok
Trusted-AI/AIX360,MLOps,1776.0,327.0,57.0,375015.0,Python,2510.0,2019-07-11,2026-05-21,Interpretability and explainability of data and machine learning models,True,True,False,Apache-2.0,ok
google-research/maxvit,Computer Vision,499.0,39.0,6.0,2730.0,Jupyter Notebook,1418.0,2022-07-07,2026-05-02,"[ECCV 2022] Official repository for ""MaxViT: Multi-Axis Vision Transformer"". SOTA foundation models for classification, detection, segmentation, image quality, and generative modeling...",False,True,False,Apache-2.0,ok
twisted/twisted,Non-ML Control,5967.0,1212.0,2798.0,78360.0,Python,5442.0,2011-07-01,2026-05-25,Event-driven networking engine written in Python.,False,True,False,NOASSERTION,ok
keleshev/schema,Non-ML Control,2946.0,223.0,103.0,417.0,Python,5027.0,2012-08-19,2026-05-21,Schema validation just got Pythonic,True,True,False,MIT,ok
google-research/big_vision,Deep Learning,3452.0,221.0,58.0,6383.0,Jupyter Notebook,1512.0,2022-04-04,2026-05-25,"Official codebase used to develop Vision Transformer, SigLIP, MLP-Mixer, LiT and more.",False,True,False,Apache-2.0,ok
benoitc/gunicorn,Non-ML Control,10580.0,1836.0,120.0,8003.0,Python,6020.0,2009-11-30,2026-05-25,"gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.",True,True,False,NOASSERTION,ok
google-deepmind/bsuite,AutoML/RL,1546.0,187.0,19.0,2071.0,Python,2488.0,2019-08-02,2026-05-25,bsuite is a collection of carefully-designed experiments that investigate core capabilities of a reinforcement learning (RL) agent,True,True,False,Apache-2.0,ok
oegedijk/explainerdashboard,MLOps,2486.0,345.0,0.0,86534.0,Python,2399.0,2019-10-30,2026-05-25,"Quickly build Explainable AI dashboards that show the inner workings of so-called ""blackbox"" machine learning models.",True,True,False,MIT,ok
openai/consistency_models,Deep Learning,6483.0,434.0,51.0,59.0,Python,1184.0,2023-02-26,2026-05-25,Official repo for consistency models.,True,True,False,MIT,ok
minerllabs/minerl,AutoML/RL,948.0,171.0,239.0,118723.0,Java,2589.0,2019-04-23,2026-05-23,MineRL Competition for Sample Efficient Reinforcement Learning - Python Package,True,True,False,NOASSERTION,ok
google-deepmind/dm_pix,Computer Vision,438.0,27.0,2.0,779.0,Python,1790.0,2021-06-30,2026-05-14,"PIX is an image processing library in JAX, for JAX.",True,True,False,Apache-2.0,ok
crowsonkb/k-diffusion,Deep Learning,2589.0,400.0,62.0,199.0,Python,1434.0,2022-06-21,2026-05-18,Karras et al. (2022) diffusion models for PyTorch,True,True,False,MIT,ok
tartley/colorama,Non-ML Control,3786.0,274.0,133.0,492.0,Python,4421.0,2014-04-17,2026-05-25,Simple cross-platform colored terminal text in Python,True,True,False,BSD-3-Clause,ok
gevent/gevent,Non-ML Control,6438.0,964.0,130.0,23075.0,Python,5002.0,2012-09-13,2026-05-25,Coroutine-based concurrency library for Python,True,True,False,NOASSERTION,ok
pachyderm/pachyderm,MLOps,6293.0,575.0,940.0,656481.0,Go,4281.0,2014-09-04,2026-05-25,Data-Centric Pipelines and Data Versioning,False,True,False,Apache-2.0,ok
AI4Finance-Foundation/FinRL,AutoML/RL,15241.0,3349.0,302.0,84041.0,Jupyter Notebook,2129.0,2020-07-26,2026-05-25,FinRL®:  Financial Reinforcement Learning. 🔥,True,True,False,MIT,ok
google-deepmind/optax,MLOps,2270.0,329.0,75.0,9153.0,Python,2173.0,2020-06-12,2026-05-25,Optax is a gradient processing and optimization library for JAX.,True,True,False,Apache-2.0,ok
MongoEngine/mongoengine,Non-ML Control,4350.0,1231.0,347.0,9113.0,Python,5194.0,2012-03-05,2026-05-18,A Python Object-Document-Mapper for working with MongoDB,True,True,False,MIT,ok
msgpack/msgpack-python,Non-ML Control,2091.0,245.0,10.0,3129.0,Python,5391.0,2011-08-21,2026-05-25,MessagePack serializer implementation for Python msgpack.org[Python],False,True,False,NOASSERTION,ok
tatsu-lab/stanford_alpaca,Deep Learning,30255.0,3992.0,188.0,8654.0,Python,1172.0,2023-03-10,2026-05-25,"Code and documentation to train Stanford's Alpaca models, and generate the data.",True,True,False,Apache-2.0,ok
dagster-io/dagster,MLOps,15568.0,2141.0,2669.0,1447399.0,Python,2947.0,2018-04-30,2026-05-25,"An orchestration platform for the development, production, and observation of data assets.",False,True,False,Apache-2.0,ok
pgmpy/pgmpy,MLOps,3269.0,1128.0,560.0,16851.0,Python,4630.0,2013-09-20,2026-05-25,Python Toolkit for Causal and Probabilistic Reasoning,True,True,False,MIT,ok
AI4Finance-Foundation/ElegantRL,AutoML/RL,4335.0,973.0,151.0,118187.0,Python,2509.0,2019-07-12,2026-05-25,Massively Parallel Deep Reinforcement Learning. 🔥,True,True,False,NOASSERTION,ok
coleifer/peewee,Non-ML Control,11965.0,1387.0,2.0,15921.0,Python,5705.0,2010-10-11,2026-05-25,"a small, expressive orm -- supports postgresql, mysql, sqlite",True,True,False,MIT,ok
OpenBMB/ChatDev,Deep Learning,33199.0,4116.0,57.0,381780.0,Python,1001.0,2023-08-28,2026-05-25,ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration,False,True,False,Apache-2.0,ok
mongodb/motor,Non-ML Control,2528.0,216.0,1.0,3958.0,Python,4882.0,2013-01-11,2026-05-24,Motor - the async Python driver for MongoDB and Tornado or asyncio,False,False,False,Apache-2.0,ok
arviz-devs/arviz,MLOps,1822.0,496.0,105.0,131980.0,TeX,3953.0,2015-07-29,2026-05-23,Exploratory analysis of Bayesian models with Python,True,True,False,Apache-2.0,ok
mage-ai/mage-ai,MLOps,8736.0,966.0,592.0,245852.0,Python,1470.0,2022-05-16,2026-05-25,"🧙 Build, run, and manage data pipelines for integrating and transforming data.",True,True,False,Apache-2.0,ok
google/evojax,AutoML/RL,948.0,110.0,25.0,72081.0,Jupyter Notebook,1630.0,2021-12-07,2026-05-11,,False,True,False,Apache-2.0,ok
rq/rq,Non-ML Control,10643.0,1474.0,249.0,4460.0,Python,5306.0,2011-11-14,2026-05-25,Simple job queues for Python,False,True,False,NOASSERTION,ok
pynamodb/PynamoDB,Non-ML Control,2648.0,428.0,317.0,2619.0,Python,4508.0,2014-01-20,2026-05-11,A pythonic interface to Amazon's DynamoDB,True,True,False,MIT,ok
nomic-ai/gpt4all,Deep Learning,77354.0,8322.0,759.0,44678.0,C++,1155.0,2023-03-27,2026-05-25,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,True,True,False,MIT,ok
determined-ai/determined,MLOps,3225.0,373.0,106.0,207776.0,Go,2239.0,2020-04-07,2026-05-15,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",False,True,False,Apache-2.0,ok
miguelgrinberg/Flask-SocketIO,Non-ML Control,5511.0,897.0,7.0,829.0,Python,4488.0,2014-02-09,2026-05-19,Socket.IO integration for Flask applications.,True,True,False,MIT,ok
tensorflow/lattice,MLOps,523.0,93.0,12.0,1591.0,Python,3167.0,2017-09-22,2026-05-23,Lattice methods in TensorFlow,True,True,False,Apache-2.0,ok
CMA-ES/pycma,AutoML/RL,1316.0,198.0,90.0,12155.0,Jupyter Notebook,3532.0,2016-09-22,2026-05-25,Python implementation of CMA-ES,True,True,False,NOASSERTION,ok
clearml/clearml-serving,MLOps,165.0,50.0,31.0,2000.0,Python,1869.0,2021-04-12,2026-05-20,ClearML - Model-Serving Orchestration and Repository Solution,True,True,False,Apache-2.0,ok
DEAP/deap,AutoML/RL,6401.0,1162.0,281.0,11058.0,Python,4387.0,2014-05-21,2026-05-22,Distributed Evolutionary Algorithms in Python,True,True,False,LGPL-3.0,ok
google-deepmind/distrax,MLOps,634.0,39.0,52.0,689.0,Python,1880.0,2021-04-01,2026-05-25,,True,True,False,Apache-2.0,ok
pypa/wheel,Non-ML Control,560.0,181.0,9.0,1870.0,Python,3226.0,2017-07-25,2026-05-15,The official binary distribution format for Python,False,True,False,MIT,ok
deepchecks/deepchecks,MLOps,4016.0,297.0,262.0,281045.0,Python,1687.0,2021-10-11,2026-05-24,"Deepchecks: Tests for Continuous Validation of ML Models & Data. Deepchecks is a holistic open-source solution for all of your AI & ML validation needs, enabling to thoroughly test your data and model",False,True,False,NOASSERTION,ok
bentoml/OpenLLM,MLOps,12334.0,813.0,13.0,42809.0,Python,1132.0,2023-04-19,2026-05-25,"Run any open-source LLMs, such as DeepSeek and Llama, as OpenAI compatible API endpoint in the cloud.",True,True,False,Apache-2.0,ok
trevorstephens/gplearn,AutoML/RL,1851.0,323.0,17.0,8058.0,Python,4078.0,2015-03-26,2026-05-23,"Genetic Programming in Python, with a scikit-learn inspired API",False,True,False,BSD-3-Clause,ok
pypa/build,Non-ML Control,845.0,154.0,15.0,1248.0,Python,2206.0,2020-05-10,2026-05-20,"A simple, correct Python build frontend",False,True,False,MIT,ok
grpc/grpc,Non-ML Control,44820.0,11172.0,1332.0,606991.0,C++,4186.0,2014-12-08,2026-05-25,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",False,True,False,Apache-2.0,ok
FlagAI-Open/FlagAI,Deep Learning,3874.0,416.0,22.0,153150.0,Python,1470.0,2022-05-16,2026-05-19,"FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model.",True,True,False,Apache-2.0,ok
flyteorg/flyte,MLOps,7047.0,821.0,209.0,374951.0,Go,2408.0,2019-10-21,2026-05-25,"Dynamic, resilient AI orchestration. Coordinate data, models, and compute as you build AI workflows.",False,True,False,Apache-2.0,ok
unionai-oss/pandera,MLOps,4353.0,400.0,449.0,5957.0,Python,2762.0,2018-11-01,2026-05-25,"A light-weight, flexible, and expressive statistical data testing library",True,True,False,MIT,ok
optuna/optuna-integration,AutoML/RL,70.0,43.0,9.0,1127.0,Python,1265.0,2022-12-07,2026-05-23,Extended functionalities for Optuna in combination with third-party libraries.,True,True,False,MIT,ok
protocolbuffers/protobuf,Non-ML Control,71269.0,16134.0,268.0,224139.0,C++,4290.0,2014-08-26,2026-05-25,Protocol Buffers - Google's data interchange format,True,True,False,NOASSERTION,ok
saltstack/salt,Non-ML Control,15452.0,5594.0,2539.0,576258.0,Python,5573.0,2011-02-20,2026-05-25,Software to automate the management and configuration of infrastructure and applications at scale.,True,True,False,Apache-2.0,ok
abetlen/llama-cpp-python,Deep Learning,10342.0,1409.0,716.0,2893.0,Python,1159.0,2023-03-23,2026-05-25,Python bindings for llama.cpp,True,True,False,MIT,ok
tensorflow/tfx,MLOps,2186.0,730.0,276.0,247143.0,Python,2667.0,2019-02-04,2026-05-22, TFX is an end-to-end platform for deploying production ML pipelines,True,True,False,Apache-2.0,ok
apache/beam,MLOps,8593.0,4557.0,4119.0,1015502.0,Java,3765.0,2016-02-02,2026-05-25,Apache Beam is a unified programming model for Batch and Streaming data processing.,False,True,False,Apache-2.0,ok
google/ml-metadata,MLOps,678.0,177.0,60.0,4150.0,C++,2687.0,2019-01-15,2026-05-25,For recording and retrieving metadata associated with ML developer and data scientist workflows.,True,True,False,Apache-2.0,ok
open-mmlab/mmdeploy,MLOps,3127.0,710.0,453.0,13797.0,Python,1613.0,2021-12-24,2026-05-25,OpenMMLab Model Deployment Framework,True,True,False,Apache-2.0,ok
miguelgrinberg/python-socketio,Non-ML Control,4347.0,625.0,11.0,2078.0,Python,3967.0,2015-07-15,2026-05-25,Python Socket.IO server and client,True,True,False,MIT,ok
marshmallow-code/marshmallow,Non-ML Control,7240.0,689.0,138.0,6957.0,Python,4579.0,2013-11-10,2026-05-25,A lightweight library for converting complex objects to and from simple Python datatypes.,True,True,False,MIT,ok
cherrypy/cherrypy,Non-ML Control,1945.0,365.0,266.0,28909.0,Python,3677.0,2016-04-30,2026-05-25,"CherryPy is a pythonic, object-oriented HTTP framework.      https://cherrypy.dev",True,True,False,BSD-3-Clause,ok
hpcaitech/ColossalAI,Deep Learning,41386.0,4505.0,499.0,66601.0,Python,1670.0,2021-10-28,2026-05-25,"Making large AI models cheaper, faster and more accessible",True,True,False,Apache-2.0,ok
joke2k/faker,Non-ML Control,19260.0,2075.0,23.0,11713.0,Python,4942.0,2012-11-12,2026-05-24,Faker is a Python package that generates fake data for you.,True,True,False,MIT,ok
googleapis/python-aiplatform,MLOps,894.0,449.0,357.0,163068.0,Python,2070.0,2020-09-23,2026-05-24,"A Python SDK for Vertex AI, a fully managed, end-to-end platform for data science and machine learning.",False,True,False,Apache-2.0,ok
boto/boto3,Non-ML Control,9813.0,1972.0,190.0,15559.0,Python,4252.0,2014-10-03,2026-05-25,"Boto3, an AWS SDK for Python",False,True,False,Apache-2.0,ok
microsoft/semantic-kernel,NLP,27978.0,4607.0,290.0,102489.0,C#,1183.0,2023-02-27,2026-05-25,Integrate cutting-edge LLM technology quickly and easily into your apps,False,True,False,MIT,ok
D-X-Y/AutoDL-Projects,AutoML/RL,1580.0,288.0,15.0,11496.0,Python,2671.0,2019-01-31,2026-05-21,Automated deep learning algorithms implemented in PyTorch.,True,True,False,MIT,ok
Textualize/rich,Non-ML Control,56447.0,2167.0,337.0,50508.0,Python,2388.0,2019-11-10,2026-05-25,Rich is a Python library for rich text and beautiful formatting in the terminal.,True,True,False,MIT,ok
microsoft/archai,AutoML/RL,486.0,93.0,4.0,50693.0,Python,2272.0,2020-03-05,2026-04-27,"Accelerate your Neural Architecture Search (NAS) through fast, reproducible and modular research.",True,True,False,MIT,ok
paramiko/paramiko,Non-ML Control,9766.0,2051.0,1179.0,8458.0,Python,6321.0,2009-02-02,2026-05-25,The leading native Python SSHv2 protocol library.,False,True,False,LGPL-2.1,ok
kubeflow/katib,MLOps,1682.0,522.0,121.0,107388.0,Python,2974.0,2018-04-03,2026-05-25,Automated Machine Learning on Kubernetes,False,True,False,Apache-2.0,ok
alibaba/FederatedScope,MLOps,1530.0,260.0,55.0,314617.0,Python,1523.0,2022-03-24,2026-05-18,An easy-to-use federated learning platform,True,True,False,Apache-2.0,ok
Textualize/textual,Non-ML Control,36024.0,1204.0,280.0,496888.0,Python,1873.0,2021-04-08,2026-05-25,The lean application framework for Python.  Build sophisticated user interfaces with a simple Python API. Run your apps in the terminal and a web browser.,True,True,False,MIT,ok
yaml/pyyaml,Non-ML Control,2892.0,580.0,350.0,740.0,Python,5317.0,2011-11-03,2026-05-24,Canonical source repository for PyYAML,True,True,False,MIT,ok
Netflix/dispatch,MLOps,6463.0,665.0,0.0,120559.0,Python,2296.0,2020-02-10,2026-05-24,"All of the ad-hoc things you're doing to manage incidents today, done for you, and much more!",False,True,False,Apache-2.0,ok
pallets/click,Non-ML Control,17511.0,1733.0,123.0,5116.0,Python,4414.0,2014-04-24,2026-05-25,Python composable command line interface toolkit,False,True,False,BSD-3-Clause,ok
tqdm/tqdm,Non-ML Control,31167.0,1447.0,613.0,6053.0,Python,4009.0,2015-06-03,2026-05-25,":zap: A Fast, Extensible Progress Bar for Python and CLI",True,True,False,NOASSERTION,ok
Significant-Gravitas/AutoGPT,NLP,184552.0,46224.0,433.0,597348.0,Python,1166.0,2023-03-16,2026-05-25,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",True,True,False,NOASSERTION,ok
triton-inference-server/server,MLOps,10691.0,1782.0,886.0,39605.0,Python,2790.0,2018-10-04,2026-05-25,The Triton Inference Server provides an optimized cloud and edge inferencing solution. ,False,True,False,BSD-3-Clause,ok
microsoft/qlib,AutoML/RL,43484.0,6851.0,412.0,17997.0,Python,2110.0,2020-08-14,2026-05-25,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, incl",True,True,False,MIT,ok
pypa/pip,Non-ML Control,10204.0,3274.0,1074.0,74380.0,Python,5559.0,2011-03-06,2026-05-25,The Python package installer,False,True,False,MIT,ok
aws/sagemaker-training-toolkit,MLOps,536.0,140.0,59.0,1096.0,Python,2427.0,2019-10-02,2026-05-10,Train machine learning models within a 🐳 Docker container using 🧠 Amazon SageMaker.,False,True,False,Apache-2.0,ok
microsoft/autogen,NLP,58391.0,8814.0,858.0,148692.0,Python,1011.0,2023-08-18,2026-05-25,A programming framework for agentic AI,False,True,False,CC-BY-4.0,ok
neptune-ai/neptune-client,MLOps,623.0,75.0,4.0,13690.0,Python,2660.0,2019-02-11,2026-05-07,📘 The experiment tracker for foundation model training,False,True,False,Apache-2.0,ok
googleapis/python-bigquery,MLOps,800.0,324.0,0.0,11439.0,Python,2358.0,2019-12-10,2026-05-11,This library has moved to https://github.com/googleapis/google-cloud-python/tree/main/packages/google-cloud-bigquery,False,True,False,Apache-2.0,ok
AI4Finance-Foundation/FinGPT,AutoML/RL,20286.0,2881.0,91.0,12575.0,Jupyter Notebook,1199.0,2023-02-11,2026-05-25,FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.,True,True,False,MIT,ok
google/python-fire,Non-ML Control,28196.0,1478.0,175.0,6260.0,Python,3380.0,2017-02-21,2026-05-25,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,False,True,False,NOASSERTION,ok
crewAIInc/crewAI,NLP,52180.0,7239.0,355.0,233109.0,Python,941.0,2023-10-27,2026-05-25,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",False,True,False,MIT,ok
dbt-labs/dbt-core,MLOps,12850.0,2402.0,834.0,53341.0,Python,3728.0,2016-03-10,2026-05-25,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,False,True,False,NOASSERTION,ok
orchest/orchest,MLOps,4140.0,262.0,130.0,28488.0,TypeScript,2195.0,2020-05-21,2026-05-22,"Build data pipelines, the easy way 🛠️",False,True,False,Apache-2.0,ok
mkdocs/mkdocs,Non-ML Control,22109.0,2627.0,165.0,33238.0,Python,4517.0,2014-01-11,2026-05-25,Project documentation with Markdown.,True,True,False,BSD-2-Clause,ok
giampaolo/psutil,Non-ML Control,11179.0,1484.0,378.0,39649.0,Python,4385.0,2014-05-23,2026-05-25,Cross-platform lib for process and system monitoring in Python,False,True,False,BSD-3-Clause,ok
tensortrade-org/tensortrade,AutoML/RL,6283.0,1235.0,45.0,63739.0,Python,2491.0,2019-07-30,2026-05-25,"An open source reinforcement learning framework for training, evaluating, and deploying robust trading agents.",True,True,False,Apache-2.0,ok
pdoc3/pdoc,Non-ML Control,1193.0,145.0,104.0,2126.0,Python,2700.0,2019-01-02,2026-05-25,🐍 ➡️ 📜  Auto-generate API documentation for Python projects,False,True,False,AGPL-3.0,ok
stanford-oval/storm,NLP,28266.0,2574.0,119.0,8212.0,Python,792.0,2024-03-24,2026-05-25,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,True,True,False,MIT,ok
dask/dask,MLOps,13843.0,1875.0,1246.0,130493.0,Python,4159.0,2015-01-04,2026-05-25,Parallel computing with task scheduling,True,True,False,BSD-3-Clause,ok
DLR-RM/rl-baselines3-zoo,AutoML/RL,2808.0,597.0,63.0,4056.0,Python,2211.0,2020-05-05,2026-05-25,"A training framework for Stable Baselines3 reinforcement learning agents, with hyperparameter optimization and pre-trained agents included.",True,True,False,MIT,ok
pyenv/pyenv,Non-ML Control,44812.0,3270.0,56.0,6481.0,Shell,5015.0,2012-08-31,2026-05-25,Simple Python version management,True,True,False,MIT,ok
sematic-ai/sematic,MLOps,999.0,62.0,131.0,21208.0,Python,1497.0,2022-04-19,2026-05-04,An open-source ML pipeline development platform,True,True,False,Apache-2.0,ok
fabric/fabric,Non-ML Control,15434.0,1964.0,501.0,19317.0,Python,6233.0,2009-05-01,2026-05-25,"Simple, Pythonic remote execution and deployment.",False,True,False,BSD-2-Clause,ok
modin-project/modin,MLOps,10391.0,674.0,711.0,53839.0,Python,2895.0,2018-06-21,2026-05-23,Modin: Scale your Pandas workflows by changing a single line of code,True,True,False,Apache-2.0,ok
anthropics/anthropic-sdk-python,NLP,3517.0,691.0,267.0,5355.0,Python,1224.0,2023-01-17,2026-05-25,,False,True,False,MIT,ok
fiddler-labs/fiddler-auditor,MLOps,191.0,23.0,16.0,1816.0,Python,1103.0,2023-05-18,2026-05-06,Fiddler Auditor is a tool to evaluate language models.,True,True,False,NOASSERTION,ok
