repo_name,category,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc
openai/jukebox,Deep Learning,3.14,67.73,3147.0,1364.0,48.0,30080.0
mindee/doctr,Computer Vision,4.68,75.46,296.0,1130.0,106.0,35987.0
microsoft/MASS,NLP,5.04,61.48,254.0,311.0,38.0,7494.0
ollama/ollama,NLP,,,0.0,,,
google-research/scenic,Computer Vision,3.59,72.34,56019.0,5134.0,274.0,217319.0
OpenBMB/ToolBench,NLP,3.67,72.72,2795.0,412.0,17.0,9671.0
microsoft/ProphetNet,NLP,4.53,62.65,3574.0,1836.0,137.0,51632.0
google-research/multinerf,Computer Vision,3.52,55.85,2637.0,289.0,20.0,8432.0
thunlp/OpenPrompt,NLP,3.22,65.01,4115.0,850.0,32.0,16025.0
thunlp/OpenDelta,NLP,3.74,68.17,4035.0,913.0,52.0,24195.0
microsoft/JARVIS,NLP,6.51,41.55,700.0,165.0,25.0,6245.0
bmild/nerf,Computer Vision,5.31,43.22,332.0,35.0,5.0,1657.0
NVlabs/instant-ngp,Computer Vision,5.46,55.2,7090.0,448.0,61.0,16044.0
adapter-hub/adapters,NLP,3.93,73.93,241.0,1909.0,131.0,45900.0
nerfstudio-project/nerfstudio,Computer Vision,3.44,68.47,620.0,1872.0,112.0,50731.0
langchain-ai/langchainjs,NLP,,,3.0,,,
google-research/xtreme,NLP,5.93,55.97,3756.0,380.0,44.0,13336.0
facebookresearch/cc_net,NLP,3.33,62.16,41.0,392.0,19.0,6253.0
graphdeco-inria/gaussian-splatting,Computer Vision,3.09,62.95,516.0,164.0,7.0,3760.0
deepset-ai/haystack-experimental,NLP,3.22,84.01,67.0,274.0,6.0,6217.0
EleutherAI/the-pile,NLP,1.66,58.91,608.0,318.0,3.0,2525.0
facebookresearch/sam2,Deep Learning,3.65,64.87,102.0,711.0,36.0,16982.0
facebookresearch/ClassyVision,Computer Vision,2.33,77.93,139.0,1742.0,20.0,30676.0
bigscience-workshop/xmtf,NLP,4.88,62.95,222.0,17.0,1.0,1078.0
openai/evals,Deep Learning,3.07,69.5,791.0,2232.0,62.0,45989.0
open-mmlab/mmrotate,Computer Vision,4.44,80.34,0.0,712.0,65.0,31787.0
microsoft/graphrag,NLP,2.96,82.8,445.0,2076.0,53.0,50414.0
allenai/unifiedqa,NLP,4.23,47.38,1030.0,221.0,22.0,5763.0
PromtEngineer/localGPT,NLP,5.15,61.52,1379.0,340.0,26.0,10366.0
facebookresearch/pytorchvideo,Computer Vision,3.11,74.74,101.0,1356.0,34.0,38836.0
open-mmlab/mmocr,Computer Vision,3.0,84.08,2.0,2426.0,78.0,65954.0
Stability-AI/generative-models,Deep Learning,3.53,55.75,658.0,814.0,43.0,17845.0
roboflow/roboflow-python,Computer Vision,2.33,65.96,10.0,1675.0,40.0,30023.0
open-mmlab/mmagic,Computer Vision,3.74,77.35,260.0,5242.0,288.0,176931.0
google-deepmind/dm-haiku,Deep Learning,1.96,70.95,7468.0,1985.0,22.0,34930.0
open-mmlab/mmaction2,Computer Vision,4.21,78.03,66.0,2286.0,172.0,89903.0
cleanlab/cleanlab,Computer Vision,3.8,63.3,1171.0,1442.0,78.0,43325.0
xinntao/Real-ESRGAN,Deep Learning,5.61,71.8,0.0,85.0,14.0,2770.0
pallets/flask,Non-ML Control,2.94,68.83,59.0,925.0,29.0,18337.0
pyro-ppl/pyro,MLOps,2.98,65.3,231.0,5887.0,189.0,133935.0
automl/HpBandSter,AutoML/RL,3.0,77.12,6918.0,309.0,9.0,8617.0
catboost/catboost,AutoML/RL,3.5,61.08,8113.0,10453.0,586.0,184016.0
lucidrains/imagen-pytorch,Deep Learning,3.49,52.85,3355.0,405.0,19.0,7507.0
django/django,Non-ML Control,1.84,82.38,,38007.0,439.0,
facebookresearch/vissl,Computer Vision,2.94,72.68,164.0,2653.0,73.0,58602.0
albumentations-team/autoalbument,Computer Vision,1.77,72.76,6.0,390.0,0.0,2918.0
tensorflow/probability,MLOps,1.91,,,18997.0,195.0,
EpistasisLab/tpot,AutoML/RL,3.55,73.04,5129.0,694.0,34.0,17579.0
python/mypy,Non-ML Control,3.84,60.98,318.0,10112.0,759.0,178962.0
davidhalter/jedi,Non-ML Control,2.8,77.18,1393.0,2887.0,86.0,46659.0
google/neural-tangents,Deep Learning,3.99,66.66,4913.0,637.0,53.0,27060.0
psf/requests,Non-ML Control,2.84,68.04,94.0,713.0,13.0,11997.0
EpistasisLab/tpot2,AutoML/RL,3.53,73.57,5098.0,692.0,33.0,17469.0
openml/openml-python,AutoML/RL,3.36,74.96,165.0,1118.0,44.0,29657.0
