repo_name,category,month,commit_count
facebookresearch/fairseq,NLP,2023-07,1
facebookresearch/fairseq,NLP,2023-08,1
facebookresearch/fairseq,NLP,2023-09,3
facebookresearch/fairseq,NLP,2023-10,2
facebookresearch/fairseq,NLP,2024-01,2
facebookresearch/fairseq,NLP,2024-02,1
facebookresearch/fairseq,NLP,2024-03,1
facebookresearch/fairseq,NLP,2024-05,1
facebookresearch/fairseq,NLP,2024-07,1
facebookresearch/fairseq,NLP,2024-09,1
facebookresearch/fairseq,NLP,2024-10,2
facebookresearch/fairseq,NLP,2025-06,1
facebookresearch/fairseq,NLP,2025-09,2
allenai/allennlp,NLP,2020-08,16
allenai/allennlp,NLP,2020-09,35
allenai/allennlp,NLP,2020-10,40
allenai/allennlp,NLP,2020-11,29
allenai/allennlp,NLP,2020-12,21
allenai/allennlp,NLP,2021-01,25
allenai/allennlp,NLP,2021-02,30
allenai/allennlp,NLP,2021-03,24
allenai/allennlp,NLP,2021-04,40
allenai/allennlp,NLP,2021-05,31
allenai/allennlp,NLP,2021-06,34
allenai/allennlp,NLP,2021-07,23
allenai/allennlp,NLP,2021-08,20
allenai/allennlp,NLP,2021-09,11
allenai/allennlp,NLP,2021-10,8
allenai/allennlp,NLP,2021-11,12
allenai/allennlp,NLP,2021-12,18
allenai/allennlp,NLP,2022-01,12
allenai/allennlp,NLP,2022-02,15
allenai/allennlp,NLP,2022-03,12
allenai/allennlp,NLP,2022-04,11
allenai/allennlp,NLP,2022-05,4
allenai/allennlp,NLP,2022-06,16
allenai/allennlp,NLP,2022-07,5
allenai/allennlp,NLP,2022-08,2
allenai/allennlp,NLP,2022-09,1
allenai/allennlp,NLP,2022-10,4
allenai/allennlp,NLP,2022-11,1
facebookresearch/detectron2,Computer Vision,2021-03,15
facebookresearch/detectron2,Computer Vision,2021-04,50
facebookresearch/detectron2,Computer Vision,2021-05,35
facebookresearch/detectron2,Computer Vision,2021-06,19
facebookresearch/detectron2,Computer Vision,2021-07,22
facebookresearch/detectron2,Computer Vision,2021-08,33
facebookresearch/detectron2,Computer Vision,2021-09,27
facebookresearch/detectron2,Computer Vision,2021-10,25
facebookresearch/detectron2,Computer Vision,2021-11,27
facebookresearch/detectron2,Computer Vision,2021-12,7
facebookresearch/detectron2,Computer Vision,2022-01,14
facebookresearch/detectron2,Computer Vision,2022-02,4
facebookresearch/detectron2,Computer Vision,2022-03,3
facebookresearch/detectron2,Computer Vision,2022-04,7
facebookresearch/detectron2,Computer Vision,2022-05,13
facebookresearch/detectron2,Computer Vision,2022-06,15
facebookresearch/detectron2,Computer Vision,2022-07,8
facebookresearch/detectron2,Computer Vision,2022-08,7
facebookresearch/detectron2,Computer Vision,2022-09,5
facebookresearch/detectron2,Computer Vision,2022-10,4
facebookresearch/detectron2,Computer Vision,2022-11,4
facebookresearch/detectron2,Computer Vision,2022-12,11
facebookresearch/detectron2,Computer Vision,2023-01,9
facebookresearch/detectron2,Computer Vision,2023-02,9
facebookresearch/detectron2,Computer Vision,2023-03,18
facebookresearch/detectron2,Computer Vision,2023-04,12
facebookresearch/detectron2,Computer Vision,2023-05,7
facebookresearch/detectron2,Computer Vision,2023-06,9
facebookresearch/detectron2,Computer Vision,2023-07,4
facebookresearch/detectron2,Computer Vision,2023-08,3
facebookresearch/detectron2,Computer Vision,2023-09,4
facebookresearch/detectron2,Computer Vision,2023-10,2
facebookresearch/detectron2,Computer Vision,2023-11,3
facebookresearch/detectron2,Computer Vision,2023-12,2
facebookresearch/detectron2,Computer Vision,2024-01,4
facebookresearch/detectron2,Computer Vision,2024-02,1
facebookresearch/detectron2,Computer Vision,2024-03,6
facebookresearch/detectron2,Computer Vision,2024-04,5
facebookresearch/detectron2,Computer Vision,2024-05,10
facebookresearch/detectron2,Computer Vision,2024-06,3
facebookresearch/detectron2,Computer Vision,2024-07,1
facebookresearch/detectron2,Computer Vision,2024-08,3
facebookresearch/detectron2,Computer Vision,2024-09,1
facebookresearch/detectron2,Computer Vision,2024-10,3
facebookresearch/detectron2,Computer Vision,2024-11,4
facebookresearch/detectron2,Computer Vision,2024-12,2
facebookresearch/detectron2,Computer Vision,2025-01,1
facebookresearch/detectron2,Computer Vision,2025-04,3
facebookresearch/detectron2,Computer Vision,2025-05,1
facebookresearch/detectron2,Computer Vision,2025-06,2
facebookresearch/detectron2,Computer Vision,2025-07,4
facebookresearch/detectron2,Computer Vision,2025-08,2
facebookresearch/detectron2,Computer Vision,2025-10,1
facebookresearch/detectron2,Computer Vision,2025-11,3
facebookresearch/detectron2,Computer Vision,2026-03,2
facebookresearch/detectron2,Computer Vision,2026-04,1
ultralytics/yolov5,Computer Vision,2022-11,28
ultralytics/yolov5,Computer Vision,2022-12,41
ultralytics/yolov5,Computer Vision,2023-01,19
ultralytics/yolov5,Computer Vision,2023-02,44
ultralytics/yolov5,Computer Vision,2023-03,16
ultralytics/yolov5,Computer Vision,2023-04,26
ultralytics/yolov5,Computer Vision,2023-05,16
ultralytics/yolov5,Computer Vision,2023-06,13
ultralytics/yolov5,Computer Vision,2023-07,11
ultralytics/yolov5,Computer Vision,2023-08,15
ultralytics/yolov5,Computer Vision,2023-09,12
ultralytics/yolov5,Computer Vision,2023-10,6
ultralytics/yolov5,Computer Vision,2023-11,16
ultralytics/yolov5,Computer Vision,2023-12,7
ultralytics/yolov5,Computer Vision,2024-01,28
ultralytics/yolov5,Computer Vision,2024-02,5
ultralytics/yolov5,Computer Vision,2024-03,8
ultralytics/yolov5,Computer Vision,2024-04,11
ultralytics/yolov5,Computer Vision,2024-05,12
ultralytics/yolov5,Computer Vision,2024-06,16
ultralytics/yolov5,Computer Vision,2024-07,16
ultralytics/yolov5,Computer Vision,2024-08,12
ultralytics/yolov5,Computer Vision,2024-09,6
ultralytics/yolov5,Computer Vision,2024-10,10
ultralytics/yolov5,Computer Vision,2024-11,10
ultralytics/yolov5,Computer Vision,2024-12,2
ultralytics/yolov5,Computer Vision,2025-01,8
ultralytics/yolov5,Computer Vision,2025-03,13
ultralytics/yolov5,Computer Vision,2025-04,5
ultralytics/yolov5,Computer Vision,2025-05,3
ultralytics/yolov5,Computer Vision,2025-06,2
ultralytics/yolov5,Computer Vision,2025-07,1
ultralytics/yolov5,Computer Vision,2025-08,8
ultralytics/yolov5,Computer Vision,2025-09,2
ultralytics/yolov5,Computer Vision,2025-10,12
ultralytics/yolov5,Computer Vision,2025-11,6
ultralytics/yolov5,Computer Vision,2025-12,3
ultralytics/yolov5,Computer Vision,2026-01,4
ultralytics/yolov5,Computer Vision,2026-02,3
ultralytics/yolov5,Computer Vision,2026-03,3
ultralytics/yolov5,Computer Vision,2026-04,15
ultralytics/yolov5,Computer Vision,2026-05,6
open-mmlab/mmdetection,Computer Vision,2022-07,36
open-mmlab/mmdetection,Computer Vision,2022-08,61
open-mmlab/mmdetection,Computer Vision,2022-09,35
open-mmlab/mmdetection,Computer Vision,2022-10,29
open-mmlab/mmdetection,Computer Vision,2022-11,48
open-mmlab/mmdetection,Computer Vision,2022-12,31
open-mmlab/mmdetection,Computer Vision,2023-01,31
open-mmlab/mmdetection,Computer Vision,2023-02,23
open-mmlab/mmdetection,Computer Vision,2023-03,37
open-mmlab/mmdetection,Computer Vision,2023-04,21
open-mmlab/mmdetection,Computer Vision,2023-05,34
open-mmlab/mmdetection,Computer Vision,2023-06,21
open-mmlab/mmdetection,Computer Vision,2023-07,6
open-mmlab/mmdetection,Computer Vision,2023-08,25
open-mmlab/mmdetection,Computer Vision,2023-09,22
open-mmlab/mmdetection,Computer Vision,2023-10,16
open-mmlab/mmdetection,Computer Vision,2023-11,7
open-mmlab/mmdetection,Computer Vision,2023-12,7
open-mmlab/mmdetection,Computer Vision,2024-01,5
open-mmlab/mmdetection,Computer Vision,2024-02,5
rwightman/pytorch-image-models,Computer Vision,2024-12,20
rwightman/pytorch-image-models,Computer Vision,2025-01,68
rwightman/pytorch-image-models,Computer Vision,2025-02,11
rwightman/pytorch-image-models,Computer Vision,2025-04,23
rwightman/pytorch-image-models,Computer Vision,2025-05,66
rwightman/pytorch-image-models,Computer Vision,2025-06,74
rwightman/pytorch-image-models,Computer Vision,2025-07,34
rwightman/pytorch-image-models,Computer Vision,2025-08,9
rwightman/pytorch-image-models,Computer Vision,2025-09,56
rwightman/pytorch-image-models,Computer Vision,2025-10,24
rwightman/pytorch-image-models,Computer Vision,2025-11,7
rwightman/pytorch-image-models,Computer Vision,2025-12,38
rwightman/pytorch-image-models,Computer Vision,2026-01,16
rwightman/pytorch-image-models,Computer Vision,2026-02,8
rwightman/pytorch-image-models,Computer Vision,2026-03,13
rwightman/pytorch-image-models,Computer Vision,2026-04,33
mlflow/mlflow,MLOps,2026-03,10
mlflow/mlflow,MLOps,2026-04,472
mlflow/mlflow,MLOps,2026-05,18
iterative/dvc,MLOps,2023-11,24
iterative/dvc,MLOps,2023-12,53
iterative/dvc,MLOps,2024-01,37
iterative/dvc,MLOps,2024-02,37
iterative/dvc,MLOps,2024-03,37
iterative/dvc,MLOps,2024-04,16
iterative/dvc,MLOps,2024-05,16
iterative/dvc,MLOps,2024-06,12
iterative/dvc,MLOps,2024-07,7
iterative/dvc,MLOps,2024-08,31
iterative/dvc,MLOps,2024-09,9
iterative/dvc,MLOps,2024-10,15
iterative/dvc,MLOps,2024-11,13
iterative/dvc,MLOps,2024-12,8
iterative/dvc,MLOps,2025-01,10
iterative/dvc,MLOps,2025-02,4
iterative/dvc,MLOps,2025-03,2
iterative/dvc,MLOps,2025-04,11
iterative/dvc,MLOps,2025-05,7
iterative/dvc,MLOps,2025-06,26
iterative/dvc,MLOps,2025-07,20
iterative/dvc,MLOps,2025-08,25
iterative/dvc,MLOps,2025-09,12
iterative/dvc,MLOps,2025-10,15
iterative/dvc,MLOps,2025-11,7
iterative/dvc,MLOps,2025-12,18
iterative/dvc,MLOps,2026-01,16
iterative/dvc,MLOps,2026-02,3
iterative/dvc,MLOps,2026-03,5
iterative/dvc,MLOps,2026-04,4
PrefectHQ/prefect,MLOps,2026-03,198
PrefectHQ/prefect,MLOps,2026-04,227
PrefectHQ/prefect,MLOps,2026-05,75
bentoml/BentoML,MLOps,2024-08,10
bentoml/BentoML,MLOps,2024-09,31
bentoml/BentoML,MLOps,2024-10,42
bentoml/BentoML,MLOps,2024-11,37
